Ecossistema;Sigla;Nome;Cidade;Link
Central;INOVATEC;Parque de Inovação, Ciência e Tecnologia da UFSM;Santa Maria;https://www.ufsm.br/orgaos-suplementares/inovatec
Central;ITEC Park UFN;Parque Científico e Tecnológico da Universidade Franciscana - UFN;Santa Maria;https://site.ufn.edu.br/pagina/ambiente-de-inovacao-itec/
Central;Santa Maria Tecnoparque;Santa Maria Tecnoparque;Santa Maria;https://santamariatecnoparque.com.br/
Fronteira Oeste e Campanha;PAMPATEC;Parque Científico e Tecnológico do Pampa;Alegrete;https://sites.unipampa.edu.br/pampatec/
Fronteira Oeste e Campanha;UNIPAMPA PARQUE TECNOLÓGICO;Parque Científico e Tecnológico da Campanha;Bagé;https://unipampa.edu.br/bage/
Metropolitana e Litoral Norte;Feevale Techpark;FEEVALE TECHPARK - Campo Bom;Campo Bom;https://www.feevaletechpark.com.br/
Metropolitana e Litoral Norte;Feevale Techpark;FEEVALE TECHPARK - Novo Hamburgo;Novo Hamburgo;https://www.feevaletechpark.com.br/
Metropolitana e Litoral Norte;Feevale Techpark;FEEVALE TECHPARK - Porto Alegre;Porto Alegre;https://www.feevaletechpark.com.br/
Metropolitana e Litoral Norte;IFRS TecnoParque;IFRS TecnoParque;Viamão;
Metropolitana e Litoral Norte;Parque HCPA;Parque Tecnológico do Hospital de Clínicas de Porto Alegre;Porto Alegre;
Metropolitana e Litoral Norte;PCI - Parque Canoas de Inovação;Parque Canoas de Inovação;Canoas;https://www.canoas.rs.gov.br/pci/
Metropolitana e Litoral Norte;PRADOTECH;Parque Tecnológico do Prado;Gravataí;https://www.casadasstartups.com/
Metropolitana e Litoral Norte;TECNOPUC;Parque Científico e Tecnológico da PUC/RS;Porto Alegre;http://www.pucrs.br/tecnopuc/
Metropolitana e Litoral Norte;TECNOSINOS;Parque Tecnológico de São Leopoldo;São Leopoldo;https://www.tecnosinos.com.br
Metropolitana e Litoral Norte;ULBRATECH;Parque Tecnológico Ulbra Canoas;Canoas;https://www.ulbratech.com.br/br/canoas.html
Metropolitana e Litoral Norte;ZENIT;Parque Científico e Tecnológico da UFRGS;Porto Alegre;https://www.ufrgs.br/zenit/
Noroeste e Missões;TECNOURI;Parque Científico e Tecnológico das Missões;Santo Ângelo;http://srvapp2s.santoangelo.uri.br/sites/tecnouri/
Produção e Norte;UPFParque;Parque Científico e Tecnológico da Universidade de Passo Fundo;Passo Fundo;https://www.upf.br/upfparque
Serra Gaúcha;TECNOUCS;Parque de Ciência, Tecnologia e Inovação da Universidade de Caxias do Sul;Caxias do Sul;https://www.ucs.br/site/tecnoucs/
Sul;OCEANTEC;Parque Científico e Tecnológico da FURG;Rio Grande;https://oceantec.furg.br/
Sul;Pelotas Parque Tecnológico;Pelotas Parque Tecnológico;Pelotas;http://pelotasparquetecnologico.com.br/
Vales;GAUTEN;Gauten Parque de Inovação e Tecnologia;Santa Cruz do Sul;https://www.santacruz.rs.gov.br/conteudo/nova-pagina-em-desenvolvimento
Vales;TECNOUNISC;Parque Científico e Tecnológico Regional da UNISC;Santa Cruz do Sul;https://www.unisc.br/pt/tecnounisc
Vales;TECNOVATES;Parque Científico e Tecnológico do Vale do Taquari;Lajeado;https://www.univates.br/tecnovates/
