Ecossistema;Cidade;Link;Instituição
Central;Santa Maria;https://www.iffarroupilha.edu.br;IFFar
Central;Jaguari;https://www.iffarroupilha.edu.br/jaguari;IFFar - Campus Jaguari
Central;Júlio de Castilhos;https://www.iffarroupilha.edu.br/julio-de-castilhos;IFFar - Campus Júlio de Castilhos
Central;São Vicente do Sul;https://www.iffarroupilha.edu.br/sao-vicente-do-sul;IFFar - Campus São Vicente do Sul
Central;Santa Maria;https://www.ufsm.br;UFSM
Central;Cruz Alta;https://home.unicruz.edu.br;UNICRUZ
Fronteira Oeste e Campanha;Bagé;https://www.embrapa.br/pecuaria-sul;EMBRAPA
Fronteira Oeste e Campanha;Alegrete;https://www.iffarroupilha.edu.br/alegrete;IFFar - Alegrete
Fronteira Oeste e Campanha;São Borja;https://www.iffarroupilha.edu.br/sao-borja;IFFar - Campus São Borja
Fronteira Oeste e Campanha;Uruguaiana;https://www.iffarroupilha.edu.br/uruguaiana;IFFar - Campus Uruguaiana
Fronteira Oeste e Campanha;Bagé;https://unipampa.edu.br;UNIPAMPA
Metropolitana e Litoral Norte;Gravataí;https://www.agti.net.br;AGTI
Metropolitana e Litoral Norte;Gravataí;https://www.sinodalprado.com.br/;Colégio Sinodal Prado Gravataí
Metropolitana e Litoral Norte;Taquara;https://www2.faccat.br/portal/;FACCAT
Metropolitana e Litoral Norte;Porto Alegre;https://www.senairs.org.br/faculdade-senai;FATEC SENAI
Metropolitana e Litoral Norte;Novo Hamburgo;https://www.feevale.br;FEEVALE
Metropolitana e Litoral Norte;Porto Alegre;http://www.cardiologia.org.br/;FUC
Metropolitana e Litoral Norte;Novo Hamburgo;https://www.ibtec.org.br/;IBTeC
Metropolitana e Litoral Norte;Canoas;https://ieitec.com.br/;IEITEC
Metropolitana e Litoral Norte;Porto Alegre;https://www.eldorado.org.br/;Instituto Eldorado
Metropolitana e Litoral Norte;Porto Alegre;https://irga.rs.gov.br/inicial;IRGA
Metropolitana e Litoral Norte;Novo Hamburgo;https://www.liberato.com.br/;Liberato
Metropolitana e Litoral Norte;Porto Alegre;https://www.pucrs.br;PUCRS
Metropolitana e Litoral Norte;Porto Alegre;http://softsul.org.br/v2/;SOFTSUL
Metropolitana e Litoral Norte;Porto Alegre;https://www.uergs.edu.br;UERGS
Metropolitana e Litoral Norte;Porto Alegre;https://www.ufcspa.edu.br;UFCSPA
Metropolitana e Litoral Norte;Porto Alegre;https://www.ufrgs.br;UFRGS
Metropolitana e Litoral Norte;Canoas;https://www.ulbra.br;ULBRA
Metropolitana e Litoral Norte;São Leopoldo;https://www.unisinos.br;UNISINOS
Noroeste e Missões;Panambi;https://www.iffarroupilha.edu.br/panambi;IFFar - Campus Panambi
Noroeste e Missões;Santa Rosa;https://www.iffarroupilha.edu.br/santa-rosa;IFFar - Campus Santa Rosa
Noroeste e Missões;Santo Ângelo;https://www.iffarroupilha.edu.br/santo-angelo;IFFar - Campus Santo Ângelo
Noroeste e Missões;Santo Augusto;https://www.iffarroupilha.edu.br/santo-augusto;IFFar - Campus Santo Augusto
Noroeste e Missões;Ijuí;https://www.unijui.edu.br;UNIJUI
Produção e Norte;Passo Fundo;https://www.embrapa.br/trigo;EMBRAPA
Produção e Norte;Frederico Westphalen;https://www.iffarroupilha.edu.br/frederico-westphalen;IFFar - Campus Frederico Westphalen
Produção e Norte;Passo Fundo;https://www.upf.br;UPF
Produção e Norte;Erechim;http://www.uri.br/;URI
Serra Gaúcha;Bento Gonçalves;https://www.embrapa.br/uva-e-vinho;EMBRAPA
Serra Gaúcha;Flores da Cunha;https://www.idemer.com.br/;IDEMER
Serra Gaúcha;Bento Gonçalves;https://ifrs.edu.br;IFRS
Serra Gaúcha;Bento Gonçalves;https://ifrs.edu.br/bento/;IFRS - Bento Gonçalves
Serra Gaúcha;Caxias do Sul;https://www.caxias.ifrs.edu.br;IFRS - Caxias do Sul
Serra Gaúcha;Farroupilha;https://ifrs.edu.br/farroupilha/;IFRS - Farroupilha
Serra Gaúcha;Vacaria;http://vacaria.ifrs.edu.br/;IFRS - Vacaria
Serra Gaúcha;Caxias do Sul;https://www.ucs.br;UCS
Sul;Pelotas;https://www.embrapa.br/clima-temperado;EMBRAPA
Sul;Rio Grande;https://www.furg.br;FURG
Sul;Pelotas;https://www.ifsul.edu.br;IFSUL
Sul;Pelotas;http://portal.ufpel.edu.br/;UFPEL
Vales;Santa Cruz do Sul;https://www.unisc.br;UNISC
Vales;Lajeado;https://www.univates.br/;UNIVATES
