Ecossistema;Nome;Cidade;Link
Central;INOVATEC;Santa Maria;https://www.ufsm.br/orgaos-suplementares/inovatec
Central;SANTA MARIA TECNOPARQUE;Santa Maria;https://santamariatecnoparque.com.br/
Fronteira Oeste e Campanha;PAMPATEC;Alegrete;https://sites.unipampa.edu.br/pampatec/
Fronteira Oeste e Campanha;UNIPAMPA PARQUE TECNOLÓGICO;Bagé;https://unipampa.edu.br/bage/
Metropolitana e Litoral Norte;FEEVALE TECHPARK - Campo Bom;Campo Bom;https://www.feevale.br/techpark/unidades/unidade-campo-bom
Metropolitana e Litoral Norte;FEEVALE TECHPARK - Novo Hamburgo;Novo Hamburgo;https://www.feevale.br/techpark/unidades/unidade-novo-hamburgo
Metropolitana e Litoral Norte;FEEVALE TECHPARK - Porto Alegre;Porto Alegre;https://www.feevale.br/techpark/unidades/unidade-porto-alegre
Metropolitana e Litoral Norte;PARQUE CANOAS DE INOVAÇÃO;Canoas;https://www.canoas.rs.gov.br/pci/
Metropolitana e Litoral Norte;PRADOTECH;Gravataí;https://www.instagram.com/parquepradotech/
Metropolitana e Litoral Norte;TECNOPUC;Porto Alegre;http://www.pucrs.br/tecnopuc/
Metropolitana e Litoral Norte;TECNOSINOS;São Leopoldo;https://www.tecnosinos.com.br
Metropolitana e Litoral Norte;TECNOUCS - Vale do Caí;São Sebastião do Caí;https://www.ucs.br/site/tecnoucs/vale-do-cai/
Metropolitana e Litoral Norte;ULBRATECH;Canoas;https://www.ulbratech.com.br/br/canoas.html
Metropolitana e Litoral Norte;ZENIT;Porto Alegre;https://www.ufrgs.br/zenit/
Noroeste e Missões;TECNOURI;Santo Ângelo;http://srvapp2s.santoangelo.uri.br/sites/tecnouri/
Produção e Norte;UPF PARQUE;Passo Fundo;https://www.upf.br/upfparque
Serra Gaúcha;TECNOUCS - Caxias do Sul;Caxias do Sul;https://www.ucs.br/site/tecnoucs/parque/
Sul;OCEANTEC;Rio Grande;https://oceantec.furg.br/
Sul;PELOTAS PARQUE TECNOLÓGICO;Pelotas;http://pelotasparquetecnologico.com.br/
Vales;TECNOUNISC;Santa Cruz do Sul;https://www.unisc.br/pt/tecnounisc
Vales;TECNOVATES;Lajeado;https://www.univates.br/tecnovates/
